received_timestamp,entry_timestamp,dispatch_timestamp,response_timestamp,on_scene_timestamp,zipcode_of_incident,battalion,final_priority,als_unit,call_type_group,unit_type,location,latitude,longitude,number_of_alarms
2018-01-24 17:36:16.000000 UTC,2018-01-24 17:38:21.000000 UTC,2018-01-24 17:39:41.000000 UTC,2018-01-24 17:39:45.000000 UTC,2018-01-24 17:53:42.000000 UTC,94121,B07,2,TRUE,Non Life-threatening,MEDIC,"(37.77444199483868, -122.5046792231959)",37.77444199,-122.5046792,1
2018-01-24 07:05:05.000000 UTC,2018-01-24 07:05:05.000000 UTC,2018-01-24 07:05:31.000000 UTC,2018-01-24 07:05:45.000000 UTC,2018-01-24 07:19:02.000000 UTC,94103,B02,2,TRUE,Non Life-threatening,MEDIC,"(37.774094856688166, -122.42000143696421)",37.77409486,-122.4200014,1
2018-01-24 02:04:21.000000 UTC,2018-01-24 02:05:37.000000 UTC,2018-01-24 02:06:04.000000 UTC,2018-01-24 02:07:26.000000 UTC,2018-01-24 02:10:02.000000 UTC,94122,B08,2,TRUE,Potentially Life-Threatening,ENGINE,"(37.75521795168784, -122.47554039050351)",37.75521795,-122.4755404,1
2018-01-24 20:04:15.000000 UTC,2018-01-24 20:05:12.000000 UTC,2018-01-24 20:05:24.000000 UTC,2018-01-24 20:05:36.000000 UTC,2018-01-24 20:08:17.000000 UTC,94109,B04,3,TRUE,Alarm,ENGINE,"(37.79031930341935, -122.4231629067995)",37.7903193,-122.4231629,1
2018-01-24 20:03:08.000000 UTC,2018-01-24 20:05:36.000000 UTC,2018-01-24 20:05:57.000000 UTC,2018-01-24 20:06:56.000000 UTC,2018-01-24 20:09:15.000000 UTC,94107,B03,3,FALSE,Alarm,CHIEF,"(37.77732776352611, -122.39308855968541)",37.77732776,-122.3930886,1
2018-01-24 21:18:56.000000 UTC,2018-01-24 21:20:21.000000 UTC,2018-01-24 21:21:18.000000 UTC,2018-01-24 21:22:36.000000 UTC,2018-01-24 21:24:43.000000 UTC,94110,B06,3,TRUE,Alarm,ENGINE,"(37.756890170572206, -122.42222930549926)",37.75689017,-122.4222293,1
2018-01-24 12:24:27.000000 UTC,2018-01-24 12:25:27.000000 UTC,2018-01-24 12:26:56.000000 UTC,2018-01-24 12:26:56.000000 UTC,2018-01-24 12:35:45.000000 UTC,94102,B02,3,TRUE,Alarm,ENGINE,"(37.783359002692066, -122.41669494404806)",37.783359,-122.4166949,1
2018-01-24 19:51:29.000000 UTC,2018-01-24 19:53:19.000000 UTC,2018-01-24 19:53:41.000000 UTC,2018-01-24 19:53:50.000000 UTC,2018-01-24 19:59:56.000000 UTC,94103,B02,3,TRUE,Potentially Life-Threatening,MEDIC,"(37.76924401107554, -122.40800720584919)",37.76924401,-122.4080072,1
2018-01-24 22:26:22.000000 UTC,2018-01-24 22:27:06.000000 UTC,2018-01-24 22:27:47.000000 UTC,2018-01-24 22:28:33.000000 UTC,2018-01-24 22:32:20.000000 UTC,94133,B01,3,FALSE,Alarm,ENGINE,"(37.80711992362169, -122.41642787206773)",37.80711992,-122.4164279,1
2018-01-24 10:35:00.000000 UTC,2018-01-24 10:36:55.000000 UTC,2018-01-24 10:37:06.000000 UTC,2018-01-24 10:37:09.000000 UTC,2018-01-24 10:41:45.000000 UTC,94134,B09,2,TRUE,Non Life-threatening,MEDIC,"(37.71214950882262, -122.41714122572772)",37.71214951,-122.4171412,1
2018-01-24 12:53:39.000000 UTC,2018-01-24 12:53:39.000000 UTC,2018-01-24 12:55:17.000000 UTC,2018-01-24 12:55:28.000000 UTC,2018-01-24 13:11:25.000000 UTC,94102,B02,2,TRUE,Non Life-threatening,MEDIC,"(37.77883231587925, -122.41564248785478)",37.77883232,-122.4156425,1
2018-01-24 14:36:16.000000 UTC,2018-01-24 14:38:23.000000 UTC,2018-01-24 14:45:58.000000 UTC,2018-01-24 14:47:14.000000 UTC,2018-01-24 14:52:26.000000 UTC,94111,B01,2,TRUE,Non Life-threatening,MEDIC,"(37.79709205269086, -122.39833314918091)",37.79709205,-122.3983331,1
2018-01-24 17:56:16.000000 UTC,2018-01-24 17:58:32.000000 UTC,2018-01-24 17:59:52.000000 UTC,2018-01-24 18:00:50.000000 UTC,2018-01-24 18:03:48.000000 UTC,94114,B06,3,TRUE,Potentially Life-Threatening,ENGINE,"(37.756096396025626, -122.42778335985659)",37.7560964,-122.4277834,1
2018-01-24 16:48:13.000000 UTC,2018-01-24 16:51:25.000000 UTC,2018-01-24 16:51:46.000000 UTC,2018-01-24 16:52:30.000000 UTC,2018-01-24 17:00:46.000000 UTC,94103,B03,3,FALSE,Potentially Life-Threatening,PRIVATE,"(37.78079208027532, -122.40838574549893)",37.78079208,-122.4083857,1
2018-01-24 19:41:44.000000 UTC,2018-01-24 19:44:22.000000 UTC,2018-01-24 19:45:15.000000 UTC,2018-01-24 19:45:21.000000 UTC,2018-01-24 19:49:58.000000 UTC,94110,B06,3,TRUE,Potentially Life-Threatening,MEDIC,"(37.75223945497915, -122.41844527285122)",37.75223946,-122.4184453,1
2018-01-24 00:19:30.000000 UTC,2018-01-24 00:34:51.000000 UTC,2018-01-24 00:35:09.000000 UTC,2018-01-24 00:36:32.000000 UTC,2018-01-24 00:40:10.000000 UTC,94109,B04,3,FALSE,Alarm,RESCUE SQUAD,"(37.78521736163072, -122.41706961139498)",37.78521736,-122.4170696,1
2018-01-24 12:08:29.000000 UTC,2018-01-24 12:10:03.000000 UTC,2018-01-24 12:10:43.000000 UTC,2018-01-24 12:11:43.000000 UTC,2018-01-24 12:15:55.000000 UTC,94103,B02,3,TRUE,Potentially Life-Threatening,ENGINE,"(37.77952317116152, -122.41263929179321)",37.77952317,-122.4126393,1
2018-01-24 14:54:21.000000 UTC,2018-01-24 14:57:25.000000 UTC,2018-01-24 15:01:11.000000 UTC,2018-01-24 15:02:25.000000 UTC,2018-01-24 15:06:13.000000 UTC,94131,B08,3,TRUE,Potentially Life-Threatening,ENGINE,"(37.74817254773626, -122.45869503396155)",37.74817255,-122.458695,1
2018-01-24 21:42:22.000000 UTC,2018-01-24 21:46:48.000000 UTC,2018-01-24 21:47:16.000000 UTC,2018-01-24 21:47:21.000000 UTC,2018-01-24 21:53:05.000000 UTC,94117,B05,2,TRUE,Non Life-threatening,MEDIC,"(37.770054661455546, -122.44612843129843)",37.77005466,-122.4461284,1
2018-01-24 12:24:27.000000 UTC,2018-01-24 12:25:27.000000 UTC,2018-01-24 12:25:47.000000 UTC,2018-01-24 12:25:53.000000 UTC,,94102,B02,3,FALSE,Alarm,TRUCK,"(37.783359002692066, -122.41669494404806)",37.783359,-122.4166949,1
2018-01-24 14:10:45.000000 UTC,2018-01-24 14:11:48.000000 UTC,2018-01-24 14:12:10.000000 UTC,2018-01-24 14:12:16.000000 UTC,2018-01-24 14:17:31.000000 UTC,94103,B02,3,TRUE,Potentially Life-Threatening,MEDIC,"(37.77779030942458, -122.41283433212864)",37.77779031,-122.4128343,1
2018-01-24 10:40:14.000000 UTC,2018-01-24 10:41:06.000000 UTC,2018-01-24 10:41:22.000000 UTC,2018-01-24 10:42:30.000000 UTC,2018-01-24 10:44:43.000000 UTC,94107,B03,2,TRUE,Potentially Life-Threatening,ENGINE,"(37.78066916324976, -122.40167804559798)",37.78066916,-122.401678,1
2018-01-24 11:52:30.000000 UTC,2018-01-24 11:52:43.000000 UTC,2018-01-24 11:52:59.000000 UTC,2018-01-24 11:54:59.000000 UTC,2018-01-24 11:56:13.000000 UTC,94117,B05,2,FALSE,Potentially Life-Threatening,ENGINE,"(37.774092678704704, -122.44108442596955)",37.77409268,-122.4410844,1
2018-01-24 14:51:27.000000 UTC,2018-01-24 14:54:11.000000 UTC,2018-01-24 15:01:45.000000 UTC,2018-01-24 15:02:44.000000 UTC,2018-01-24 15:04:21.000000 UTC,94133,B01,3,FALSE,Non Life-threatening,ENGINE,"(37.80282769816514, -122.41303433677871)",37.8028277,-122.4130343,1
2018-01-24 08:50:47.000000 UTC,2018-01-24 08:52:11.000000 UTC,2018-01-24 08:52:29.000000 UTC,2018-01-24 08:52:36.000000 UTC,2018-01-24 08:59:10.000000 UTC,94102,B01,2,TRUE,Non Life-threatening,MEDIC,"(37.78626844171618, -122.41299723589641)",37.78626844,-122.4129972,1
2018-01-24 15:31:54.000000 UTC,2018-01-24 15:32:57.000000 UTC,2018-01-24 15:33:39.000000 UTC,2018-01-24 15:34:32.000000 UTC,2018-01-24 15:38:49.000000 UTC,94117,B05,3,TRUE,Potentially Life-Threatening,MEDIC,"(37.770273091358646, -122.4486050480563)",37.77027309,-122.448605,1
2018-01-24 13:19:28.000000 UTC,2018-01-24 13:21:23.000000 UTC,2018-01-24 13:22:11.000000 UTC,2018-01-24 13:22:20.000000 UTC,2018-01-24 13:25:50.000000 UTC,94102,B02,2,TRUE,Non Life-threatening,MEDIC,"(37.78191397441793, -122.41303219395635)",37.78191397,-122.4130322,1
2018-01-24 19:07:16.000000 UTC,2018-01-24 19:07:16.000000 UTC,2018-01-24 21:45:14.000000 UTC,2018-01-24 21:45:14.000000 UTC,2018-01-24 22:22:59.000000 UTC,94134,B09,2,TRUE,Non Life-threatening,MEDIC,"(37.72229807127346, -122.41130309997389)",37.72229807,-122.4113031,1
2018-01-24 03:14:26.000000 UTC,2018-01-24 03:16:33.000000 UTC,2018-01-24 03:16:45.000000 UTC,2018-01-24 03:17:12.000000 UTC,2018-01-24 03:24:16.000000 UTC,94110,B06,2,TRUE,Non Life-threatening,MEDIC,"(37.75962769270459, -122.41592301840338)",37.75962769,-122.415923,1
2018-01-24 11:59:40.000000 UTC,2018-01-24 12:00:40.000000 UTC,2018-01-24 12:01:55.000000 UTC,2018-01-24 12:01:55.000000 UTC,2018-01-24 12:02:41.000000 UTC,94102,B02,3,TRUE,Potentially Life-Threatening,ENGINE,"(37.78186544733037, -122.41428534642068)",37.78186545,-122.4142853,1
2018-01-24 12:16:45.000000 UTC,2018-01-24 12:17:37.000000 UTC,2018-01-24 12:18:05.000000 UTC,2018-01-24 12:18:10.000000 UTC,2018-01-24 12:20:44.000000 UTC,94102,B02,3,TRUE,Potentially Life-Threatening,MEDIC,"(37.7793825808027, -122.41848437228396)",37.77938258,-122.4184844,1
2018-01-24 11:55:50.000000 UTC,2018-01-24 11:57:15.000000 UTC,2018-01-24 11:58:28.000000 UTC,2018-01-24 11:59:02.000000 UTC,2018-01-24 12:00:42.000000 UTC,94109,B04,3,FALSE,Potentially Life-Threatening,ENGINE,"(37.79154569048165, -122.42003660499316)",37.79154569,-122.4200366,1
2018-01-24 14:33:15.000000 UTC,2018-01-24 14:34:29.000000 UTC,2018-01-24 14:34:43.000000 UTC,2018-01-24 14:35:42.000000 UTC,2018-01-24 14:37:00.000000 UTC,94117,B05,3,FALSE,Fire,ENGINE,"(37.77025923403998, -122.43183229992738)",37.77025923,-122.4318323,1
2018-01-24 13:02:34.000000 UTC,2018-01-24 13:03:46.000000 UTC,2018-01-24 13:04:14.000000 UTC,2018-01-24 13:04:21.000000 UTC,2018-01-24 13:07:09.000000 UTC,94103,B02,3,TRUE,Potentially Life-Threatening,MEDIC,"(37.77319006012842, -122.41823697502534)",37.77319006,-122.418237,1
2018-01-24 20:13:05.000000 UTC,2018-01-24 20:14:08.000000 UTC,2018-01-24 20:14:22.000000 UTC,2018-01-24 20:14:29.000000 UTC,2018-01-24 20:20:29.000000 UTC,94112,B09,3,TRUE,Potentially Life-Threatening,MEDIC,"(37.72094713025954, -122.45316541935485)",37.72094713,-122.4531654,1
2018-01-24 03:20:30.000000 UTC,2018-01-24 03:20:30.000000 UTC,2018-01-24 03:21:38.000000 UTC,2018-01-24 03:21:46.000000 UTC,,94118,B07,2,TRUE,Non Life-threatening,MEDIC,"(37.7849777439165, -122.45969762178187)",37.78497774,-122.4596976,1
2018-01-24 11:26:29.000000 UTC,2018-01-24 11:28:54.000000 UTC,2018-01-24 11:52:42.000000 UTC,2018-01-24 11:52:47.000000 UTC,2018-01-24 11:59:04.000000 UTC,94109,B04,2,TRUE,Non Life-threatening,MEDIC,"(37.78894503632593, -122.42625226166518)",37.78894504,-122.4262523,1
2018-01-24 16:17:08.000000 UTC,2018-01-24 16:17:08.000000 UTC,2018-01-24 16:18:08.000000 UTC,2018-01-24 16:18:11.000000 UTC,2018-01-24 16:29:11.000000 UTC,94110,B06,2,TRUE,Non Life-threatening,MEDIC,"(37.74226138328496, -122.42196474580885)",37.74226138,-122.4219647,1
2018-01-24 23:15:08.000000 UTC,2018-01-24 23:16:03.000000 UTC,2018-01-24 23:16:25.000000 UTC,2018-01-24 23:17:51.000000 UTC,2018-01-24 23:20:33.000000 UTC,94103,B03,3,TRUE,Potentially Life-Threatening,ENGINE,"(37.785743987790504, -122.40583101239245)",37.78574399,-122.405831,1
2018-01-24 13:34:18.000000 UTC,2018-01-24 13:35:29.000000 UTC,2018-01-24 13:36:24.000000 UTC,2018-01-24 13:41:40.000000 UTC,2018-01-24 13:41:40.000000 UTC,94109,B02,3,TRUE,Potentially Life-Threatening,MEDIC,"(37.78326038612958, -122.4183661541803)",37.78326039,-122.4183662,1
2018-01-24 17:06:42.000000 UTC,2018-01-24 17:08:32.000000 UTC,2018-01-24 17:08:42.000000 UTC,2018-01-24 17:08:47.000000 UTC,2018-01-24 17:13:20.000000 UTC,94114,B02,2,TRUE,Non Life-threatening,MEDIC,"(37.76759524279885, -122.43119112096323)",37.76759524,-122.4311911,1
2018-01-24 16:56:59.000000 UTC,2018-01-24 16:56:59.000000 UTC,2018-01-24 16:57:39.000000 UTC,2018-01-24 16:58:23.000000 UTC,,94111,B01,3,FALSE,Potentially Life-Threatening,PRIVATE,"(37.7969551635484, -122.39890821326146)",37.79695516,-122.3989082,1
2018-01-24 19:31:36.000000 UTC,2018-01-24 19:31:36.000000 UTC,2018-01-24 19:32:11.000000 UTC,2018-01-24 19:33:12.000000 UTC,2018-01-24 19:35:42.000000 UTC,94122,B08,3,FALSE,Potentially Life-Threatening,ENGINE,"(37.75414576856218, -122.47861569326989)",37.75414577,-122.4786157,1
